Kumon Level,Workbook Page,Average Score,Task,Masked Words
AII,138,93,"[CLS] I remember how much she wanted a pair of football boots just like her big brother’s, and she wore them to bed every night for a week. [SEP] She wanted a pair of [MASK] boots. [SEP]",football
AII,138,93,"[CLS] I remember how much she wanted a pair of football boots just like her big brother’s, and she wore them to bed every night for a week. [SEP] She wore them to bed every [MASK] for a week. [SEP]",night
AII,138,93,"[CLS] And I remember the day she had a fight with her mom and said, “I’m going to run away. I’m going to run away to Africa.” She collected her piggy bank and her green rabbit and a packet of chips, and rode off with her nose in the air. [SEP] What did Ellie do the day she had a fight with her mom? She collected her [MASK] [MASK] and her green [MASK] and rode off with her [MASK] in the air. [SEP]","piggy, bank, rabbit, nose"
AII,148,90.5,"[CLS] So he took a pillow from the bed and pulled and pushed, and stuffed and shoves until at last the pillow was with him inside the dress. Then he tied Bessie’s apron firmly around his middle to hold everything in place. He put on Bessie’s big straw hat and he pulled on Bessie’s big rubber boots. [SEP] Old Tom tied Bessie’s [MASK] firmly around his middle. [SEP]",apron
AII,148,90.5,"[CLS] So he took a pillow from the bed and pulled and pushed, and stuffed and shoves until at last the pillow was with him inside the dress. Then he tied Bessie’s apron firmly around his middle to hold everything in place. He put on Bessie’s big straw hat and he pulled on Bessie’s big rubber boots. [SEP] He pulled on Bessie’s big [MASK] boots. [SEP]",rubber
AII,148,90.5,"[CLS] In this disguise he set out to milk Belinda. Belinda was chawing in the far corner of the paddock. She looked up, blinked, then went on chewing. Quietly Old Tom came closer and closer. [SEP] What did Belinda do when she saw old Tom in Bessie’s clothes? She [MASK] up, [MASK], then went on [MASK]. [SEP]","looked, blinked, chewing"
BI,78,96.9,"[CLS] That morning the Wake-Up machine had rolled Astrid out of bed an hour late, then stuck her under a cold shower. “What a way to start the day!” Astrid said to the machine as she bought a ticket for the next school spaces. Next flight: eight thirty! Now she would really be late for school. Mts. Roboto, her teacher, would never understand. [SEP] For what did Astrid buy a ticket? Astrid [MASK] a ticket for the next school [MASK]. [SEP]","bought, spacebus"
BI,78,96.9,"[CLS] That morning the Wake-Up machine had rolled Astrid out of bed an hour late, then stuck her under a cold shower. “What a way to start the day!” Astrid said to the machine as she bought a ticket for the next school spaces. Next flight: eight thirty! Now she would really be late for school. Mts. Roboto, her teacher, would never understand. [SEP] Who would never understand why Astrid was late? Mrs. [MASK], Astrid’s [MASK], would never understand. [SEP]","Roboto, teacher"
BI,78,96.9,"[CLS] Mrs. Roboto was the type of teacher who never smiled. Astrid found a seat on the spacebus, but she couldn’t relax. She was too busy thinking about the trouble she would be in when she finally arrived at school. Slowly, the movement of the spacebus rocked her to sleep. [SEP] What type of teacher was Mrs. Roboto? She was the [MASK] of teacher who would never [MASK]. [SEP]","type, understand"
BI,78,96.9,"[CLS] Mrs. Roboto was the type of teacher who never smiled. Astrid found a seat on the spacebus, but she couldn’t relax. She was too busy thinking about the trouble she would be in when she finally arrived at school. Slowly, the movement of the spacebus rocked her to sleep. [SEP] What did the slow movement of the spacebus do to Astrid? The movement of the spacebus [MASK] her to [MASK]. [SEP]","rocked, sleep"
BI,80,93.2,"[CLS] She didn’t worry about doing her school work or getting muddy. She didn’t mind using her jacket as a pillow. She just stretched out on the warm ground and smiled. Then she giggled as the fresh, clean air blew through her hair. Had this beautiful world always been here? Now that she had found it, she never wanted to leave. [SEP] What did Astrid do on the warm ground? She [MASK] out on the warm ground and [MASK]. [SEP]","stretched, smiled"
BI,80,93.2,"[CLS] She didn’t worry about doing her school work or getting muddy. She didn’t mind using her jacket as a pillow. She just stretched out on the warm ground and smiled. Then she giggled as the fresh, clean air blew through her hair. Had this beautiful world always been here? Now that she had found it, she never wanted to leave. [SEP] Where did Astrid never want to leave? Astrid never [MASK] to leave this beautiful [MASK]. [SEP]","wanted, world"
BI,80,93.2,"[CLS] When the sun started setting, she picked up her shoes, found her backpack and caught the next spacebus home. “Where are you?” asked her mother. “Are you all right? Your school called and I was so worried!” “I’m fine, Mom,” Astrid said, handing her a bunch of daisies. “I’ve been thinking… could we move out of the city? I know of a great place.” [SEP] When did Astrid go home? Astrid went [MASK] when the sun [MASK] setting. [SEP]","home, started"
BI,80,93.2,"[CLS] When the sun started setting, she picked up her shoes, found her backpack and caught the next spacebus home. “Where are you?” asked her mother. “Are you allb right? Your school called and I was so worried!” “I’m fine, Mom,” Astrid said, handing her a bunch of daisies. “I’ve been thinking… could we move out of the city? I know of a great place.” [SEP] What did Astrid hand her mother? Astrid handed her mother a [MASK] of [MASK]. [SEP]","bunch, daisies"
BI,39,83.8,"[CLS] No one in class could see the incredible parrot he had painted. Pablo had wanted so much to enter his painting in the contest, but instead, he grabbed his painting and raced out of the classroom. When he arrived home, his mother asked, “What happened?” “Nothing!” cried Pablo, running straight to his room. He threw the painting on the floor. [SEP] What couldn’t his classmates see? Pablo’s classmates couldn’t see the incredible [MASK] he had [MASK]. [SEP]","parrot, painted"
BI,39,83.8,"[CLS] No one in class could see the incredible parrot he had painted. Pablo had wanted so much to enter his painting in the contest, but instead, he grabbed his painting and raced out of the classroom. When he arrived home, his mother asked, “What happened?” “Nothing!” cried Pablo, running straight to his room. He threw the painting on the floor. [SEP] What did he do with his painting when he got home? He [MASK] the painting on the [MASK]. [SEP]","threw, floor"
BI,39,83.8,"[CLS] Pablo sat by his window and looked out at the lush garden. The birds were singing cheerfully, but Pablo was weeping. Then he heard a voice asking him, “What happened?” “I said, ’Nothing,’” repeated Pablo, thinking it was his mother. “Nothing, nothing,” said the voice. “Yes. Nothing! Leave me alone,” said Pablo. “Leave me alone!” said the voice. [SEP] What did Pablo do at the window? He [MASK] out at the lush [MASK]. [SEP]","looked, garden"
BI,39,83.8,"[CLS] Pablo sat by his window and looked out at the lush garden. The birds were singing cheerfully, but Pablo was weeping. Then he heard a voice asking him, “What happened?” “I said, ’Nothing,’” repeated Pablo, thinking it was his mother. “Nothing, nothing,” said the voice. “Yes. Nothing! Leave me alone,” said Pablo. “Leave me alone!” said the voice. [SEP] What were the birds doing in the garden? The birds were [MASK] [MASK] in the garden. [SEP]","singing, cheerfully"
BI,60,83.2,"[CLS] The little mouse also heard the roar and knew that the lion was in trouble. He ran through the trees to where the lion was tangled in the net. “Well, my big friend,” said the mouse, “you did not believe me when I said I could help you one day. Now is my chance.” [SEP] What did the mouse know when the lion roared? The mouse [MASK} that the lion was in [MASK]. [SEP]","knew, trouble"
BI,60,83.2,"[CLS] The little mouse also heard the roar and knew that the lion was in trouble. He ran through the trees to where the lion was tangled in the net. “Well, my big friend,” said the mouse, “you did not believe me when I said I could help you one day. Now is my chance.” [SEP] What did the mouse think he could do for the lion? The [MASK] thought he could [MASK] the lion. [SEP]","mouse, help"
BI,60,83.2,"[CLS] The mouse began gnawing at the ropes with his sharp teeth. Soon the lion’s paws came loose. Next his head and great mane were free, and he struggled out of the net. “Thank you, little mouse. You saved my life!” said the lion. Together the two new friends walked down the jungle path. [SEP] What did the mouse do with his sharp teeth? The mouse began gnawing at the [MASK] with his sharp [MASK]. [SEP]","ropes, teeth"
BI,60,83.2,"[CLS] The mouse began gnawing at the ropes with his sharp teeth. Soon the lion’s paws came loose. Next his head and great mane were free, and he struggled out of the net. “Thank you, little mouse. You saved my life!” said the lion. Together the two new friends walked down the jungle path. [SEP] Where did the two new friends walk? The two new friends [MASK] down the jungle [MASK]. [SEP]","walked, path"
BII,123,77.6,"[CLS] “She thinks you’re very pretty.” “I like your aunt!” says Lisa. Fang Fang’s little cousin tugs her arm. “Big sister, big sister, come and look at the fish tank. It’s got swimming snakes!” “They’re not snakes, Ling Ling,” sighs Fang Fang. “They’re eels.” [SEP] The aunt thinks [MASK] is very [MASK]. Lisa [MASK] she likes Fang Fang’s [MASK]. [SEP]","Lisa, pretty, says, aunt"
BII,123,77.6,"[CLS] “Eels!” says Lisa. “Wow!” When they sit down at the table, the waiter brings the food- steaming dumplings, colorful sliced vegetables, fish in ginger sauce, and steamed jasmine rice and noodles. [SEP] How do the foods on the table differ? The vegetables are [MASK] and colorful. The dumplings are [MASK]. [SEP]","sliced, steaming"
BII,123,77.6,"[CLS] “Eels!” says Lisa. “Wow!” When they sit down at the table, the waiter brings the food- steaming dumplings, colorful sliced vegetables, fish in ginger sauce, and steamed jasmine rice and noodles. [SEP] The family and the waiter do two different things. What are they? The family members [MASK] down at the [MASK]. The waiter [MASK] the [MASK]. [SEP]","sit, table, brings, food"
BII,123,77.6,"[CLS] “She thinks you’re very pretty.” “I like your aunt!” says Lisa. Fang Fang’s little cousin tugs her arm. “Big sister, big sister, come and look at the fish tank. It’s got swimming snakes!” “They’re not snakes, Ling Ling,” sighs Fang Fang. “They’re eels.” [SEP] Fang Fang’s little [MASK] thinks there are [MASK] in the tank. Fang Fang tells him that they are [MASK] [SEP]","cousin, snakes, eels"
BII,39,79.1,"[CLS] But not one truffle, not a sliver did Cesar save for her. That night she looked through the dining room window at food crammed full of truffles. With a sigh she went back to her own miserable dish of scraps. Once she hadn’t thought about twice about cabbage stalks and potato peel. But how dreary they seemed now. Her sty felt droughty. Its thin bed of lawn clippings was lumpy and uncomfortable. [SEP] What kind of food did Martine have? She had a [MASK] dish [MASK] [MASK]. [SEP]","miserable, of, scraps"
BII,39,79.1,"[CLS] But not one truffle, not a sliver did Cesar save for her. That night she looked through the dining room window at food crammed full of truffles. With a sigh she went back to her own miserable dish of scraps. Once she hadn’t thought about twice about cabbage stalks and potato peel. But how dreary they seemed now. Her sty felt droughty. Its thin bed of lawn clippings was lumpy and uncomfortable. [SEP] How did Martine’s bed feel? Her thin bed was [MASK] and [MASK]. [SEP]","lumpy, uncomfortable"
BII,39,79.1,"[CLS] For a while she sat looking out at the lights of the town. Then, with a kick which sent her water-dish clattering down the steps, she disappeared into the darkness. “But what really brought you back to the forest?” Raoul kept asking, hoping it had been him all the time. “Truffles,” Martine insisted, though deep down, she knew it had been him all the time. [SEP] The spy [MASK] into the foggy night. [SEP]",disappeared
BII,39,79.1,"[CLS] For a while she sat looking out at the lights of the town. Then, with a kick which sent her water-dish clattering down the steps, she disappeared into the darkness. “But what really brought you back to the forest?” Raoul kept asking, hoping it had been him all the time. “Truffles,” Martine insisted, though deep down, she knew it had been him all the time. [SEP] Pierre is [MASK] to become an astronaut when he is older. [SEP]",hoping
BII,154,79.9,"[CLS] The little man wore his brown suit buttoned, and his brown shoes tied. He trotted along pushing the wheelbarrow. As they went, his mother talked about the sea. She told him of its voices. “It sings with a booming voice and smiles as it slaps the ships. It screams or sadly sighs.” [SEP] The little man wore his brown suit [MASK]. He wore his brown shoes [MASK]. [SEP]","buttoned, tied"
BII,154,79.9,"[CLS] The little man wore his brown suit buttoned, and his brown shoes tied. He trotted along pushing the wheelbarrow. As they went, his mother talked about the sea. She told him of its voices. “It sings with a booming voice and smiles as it slaps the ships. It screams or sadly sighs.” [SEP] The sea [MASK] and smiles. [MASK] also screams or [MASK]. [SEP]","sings, It, sighs"
BII,154,79.9,"[CLS] Brick houses are built with cement and have heavy wooden doors. The windows are sealed tightly and have thick curtains to keep out cold breezes. In warmer places, people sometimes live in huts. Their roofs are made of straw or grass, and they have doors that swing loosely to let in cool air. [SEP] What is the difference between the doors of brick houses and huts? Brick houses have [MASK] [MASK] [MASK]. Huts have doors that [MASK] [MASK] to let in cool air. [SEP]","heavy, wooden, doors, swing, loosely"
BII,154,79.9,"[CLS] Brick houses are built with cement and have heavy wooden doors. The windows are sealed tightly and have thick curtains to keep out cold breezes. In warmer places, people sometimes live in huts. Their roofs are made of straw or grass, and they have doors that swing loosely to let in cool air. [SEP] Are brick houses built with the same materials as huts? [MASK], brick houses are built with [MASK] and huts are built with straw or [MASK]. [SEP]","No, cement, grass"
BII,144,93.3,"[CLS] I quickly stopped the dryer and took the lizard out. “You silly old lizard - go outside where you belong.” But once again, it just stared at me. Just then, Grams’ dog LuLu rounded the corner of the laundry room and she spotted the lizard. [SEP] The girl spoke to the [MASK]. The lizard [MASK] [MASK] at her. [SEP]","lizard, just, stared"
BII,144,93.3,"[CLS] I quickly stopped the dryer and took the lizard out. “You silly old lizard - go outside where you belong.” But once again, it just stared at me. Just then, Grams’ dog LuLu rounded the corner of the laundry room and she spotted the lizard. [SEP] Grams’ dog LuLu rounded the [MASK] of the laundry room. She [MASK] the lizard. [SEP]","corner, spotted"
BII,144,93.3,"[CLS] “No, LuLu, no!” I screamed. But off they went jumping and leaping, with LuLu barking, trying to catch that silly lizard. All over the house it went- up the stairs, over Grams’ feet, and finally, into a closet. “Grams!” I yelled, “Come here quickly!” [SEP] What two things did the girl say? The girl [MASK], “No, LuLu, no!” She [MASK], “Grams! Come here [MASK]!” [SEP]","screamed, yelled, quickly"
BII,144,93.3,"[CLS] “No, LuLu, no!” I screamed. But off they went jumping and leaping, with LuLu barking, trying to catch that silly lizard. All over the house it went- up the stairs, over Grams’ feet, and finally, into a closet. “Grams!” I yelled, “Come here quickly!” [SEP] What were the two animals doing? Lulu was trying to [MASK] the lizard. The lizard was going all over the [MASK]. [SEP]","catch, house"
BII,139,90.5,"[CLS] “What are you doing in my bower?” he snapped. But before Leaf Tail could answer, the bird straightened up and his eyes flashed. “Someone has completely mussed up those berries and that feather” he shrieked. [SEP] The bower bird made two angry sounds with his voice: he snapped and then he [MASK]. [SEP]",shrieked
BII,139,90.5,"[CLS] “What are you doing in my bower?” he snapped. But before Leaf Tail could answer, the bird straightened up and his eyes flashed. “Someone has completely mussed up those berries and that feather” he shrieked. [SEP] The bird showed that he was upset by the way he straightened [MASK] and his eyes [MASK]. [SEP]","up, flashed"
BII,139,90.5,"[CLS] “Leaf Tail shot from the bower, and scrambled away as fast as he could. Finally he stopped to rest on an old log. But as he lay there his toes disappeared. And his tail was gone, too. The motley log was like his own skin. [SEP] What two things disappeared as Leaf Tail rested on the log? His [MASK] disappeared and so did his [MASK]. [SEP]","toes, tail"
