Kumon Level,Workbook Page,Average Score,Task,Masked Words
BII,139,90.5,"[CLS] “Leaf Tail shot from the bower, and scrambled away as fast as he could. Finally he stopped to rest on an old log. But as he lay there his toes disappeared. And his tail was gone, too. The motley log was like his own skin. [SEP] What was the motley log like? The [MASK] log was like Leaf Tail’s own [MASK]. [SEP]","motley, skin"
BII,143,90.2,"[CLS] As we passed the laundry room, Grams suggested we throw our socks into the washing machine. We started it up and went to lunch. Later that day, I opened the lid of the washing machine and I jumped three feet. “Whoa - How did you get in there?” I said. [SEP] We threw our socks into the washing [MASK] and went to [MASK]. [SEP]","machine, lunch"
BII,143,90.2,"[CLS] As we passed the laundry room, Grams suggested we throw our socks into the washing machine. We started it up and went to lunch. Later that day, I opened the lid of the washing machine and I jumped three feet. “Whoa - How did you get in there?” I said. [SEP] I [MASK] the lid of the washing machine. Then I [MASK] [MASK] [MASK]. [SEP]","opened, jumped, three, feet"
BII,143,90.2,"[CLS] It swayed back and forth for a minute and slowly jumped off. I finished putting the clothes from the washer in the dryer. As I walked away, something caught my eye, I turned around and there it was again. That green lizard was stuck on the window inside the dryer, with clothes going around it in every direction. [SEP] What two different things did the lizard do? The lizard swayed [MASK] and [MASK] for a minute. Then it slowly [MASK] [MASK] the washer. [SEP]","back, forth, jumped, off"
BII,143,90.2,"[CLS] It swayed back and forth for a minute and slowly jumped off. I finished putting the clothes from the washer in the dryer. As I walked away, something caught my eye, I turned around and there it was again. That green lizard was stuck on the window inside the dryer, with clothes going around it in every direction. [SEP] Which two laundry machines has the lizard been in? First the lizard was inside the [MASK]. Now it is stuck on the [MASK] inside the [MASK]. [SEP]","washer, window, dryer"
CI,138,86.8,"[CLS] Last week, Mr. Beele had another idea. “Who wants to start a school newspaper?” The auditorium was a sea of hands. Everyone loved the idea. Suddenly the rusty bleachers started creaking. “What’s happening?” Lucinda shouted. Suddenly, the section where the third graders were sitting collapsed! The benches gave way and came crashing down. We were all very scared. Kids started crying, shouting, and running around. [SEP] What did Mr. Beele ask? Mr. Beele asked who wanted to [MASK] [MASK] [MASK] [MASK]. [SEP]","start, a, school, newspaper"
CI,138,86.8,"[CLS] Last week, Mr. Beele had another idea. “Who wants to start a school newspaper?” The auditorium was a sea of hands. Everyone loved the idea. Suddenly the rusty bleachers started creaking. “What’s happening?” Lucinda shouted. Suddenly, the section where the third graders were sitting collapsed! The benches gave way and came crashing down. We were all very scared. Kids started crying, shouting, and running around. [SEP] What happened to the third grade bleacher section? The third [MASK] [MASK] [MASK] [MASK]. [SEP]","grade, bleacher, section, collapsed"
CI,19,76.8,"[CLS] I pressed the emergency stop button! My mother looked shocked, but I pointed and she understood. The injured dog turned toward the subway and the headlights shone into its sad eyes. My mother made another announcement. “We’ll be delayed for a few moments. There’s a dog on the tracks!” A gasp was heard throughout the cars. [SEP] What did Jackie press? [MASK] pressed [MASK] [MASK] [MASK] [MASK]. [SEP]","Jackie, the, emergency, stop, button"
CI,19,76.8,"[CLS] I pressed the emergency stop button! My mother looked shocked, but I pointed and she understood. The injured dog turned toward the subway and the headlights shone into its sad eyes. My mother made another announcement. “We’ll be delayed for a few moments. There’s a dog on the tracks!” A gasp was heard throughout the cars. [SEP] What did Jackie’s mother make? She [MASK] [MASK] [MASK]. [SEP]","made, another, announcement"
CI,38,77.9,"[CLS] “What does the Crocodile eat for dinner?” he wondered. There was a very long silence. He repeated his question in case he hadn’t been heard. The Giraffe said, “Some questions are better not answered.” That wasn’t good enough for the Elephant, and he pestered his friends. Finally, the Hippopotamus said nastily, “Why don’t you ask the Crocodile yourself?” [SEP] What followed the Elephant’s question? A very long [MASK] [MASK] the Elephant’s question. [SEP]","silence, followed"
CI,38,77.9,"[CLS] “What does the Crocodile eat for dinner?” he wondered. There was a very long silence. He repeated his question in case he hadn’t been heard. The Giraffe said, “Some questions are better not answered.” That wasn’t good enough for the Elephant, and he pestered his friends. Finally, the Hippopotamus said nastily, “Why don’t you ask the Crocodile yourself?” [SEP] When no one answered him the first time, what did the Elephant do? When no one answered him, the Elephant [MASK] [MASK] [MASK]. [SEP]","repeated, his, question"
CI,9,74.6,"[CLS] “Each of us has a story to tell,” replied another statue. “We come from different times and different parts of the world. I’m from Egypt. David is from Italy. Venus is from Greece. When no one is here, we tell stories about our lives.” “That’s fantastic!” exclaimed Rupert. “Can I listen?” [SEP] Where is Venus from? [MASK] [MASK] [MASK] [MASK]. [SEP]","Venus, is, from, Greece"
CI,9,74.6,"[CLS] “Each of us has a story to tell,” replied another statue. “We come from different times and different parts of the world. I’m from Egypt. David is from Italy. Venus is from Greece. When no one is here, we tell stories about our lives.” “That’s fantastic!” exclaimed Rupert. “Can I listen?” [SEP] What do the statues do when no one is there? When no one is there, [MASK] [MASK] [MASK] [MASK] about their [MASK]. [SEP]","the, statues, tell, stories, lives"
CII,158,72.8,"[CLS] When she sees Rex, she arches her back and hisses. Rex backs up and looks startled. Missu spits at him, jumps at his face and scratches his nose. He yips and bats it with his paw. He backs up fast and overturns a chair. He turns around and bumps into the open door, then he sees the way out and runs. [SEP] Rex responded by yipping and [MASK] a chair. [SEP]",overturning
CII,158,72.8,"[CLS] When she sees Rex, she arches her back and hisses. Rex backs up and looks startled. Missu spits at him, jumps at his face and scratches his nose. He yips and bats it with his paw. He backs up fast and overturns a chair. He turns around and bumps into the open door, then he sees the way out and runs. [SEP] Rex bumped into the [MASK] [MASK] and then ran out. [SEP]","open, door"
CII,158,72.8,"[CLS] When she sees Rex, she arches her back and hisses. Rex backs up and looks startled. Missu spits at him, jumps at his face and scratches his nose. He yips and bats it with his paw. He backs up fast and overturns a chair. He turns around and bumps into the open door, then he sees the way out and runs. [SEP] The first meeting was not the most pleasant. The cat [MASK] her back, spat, and scratched. [SEP]",arched
CII,169,77.2,"[CLS] “We’re doing a macaroni moonscape complete with scale model of a futuristic solar-powered lunar station,” said Ben. “You’re doing a moonscape,” said Sarah. “It was your idea in the first place. The only reason you let me in on it was because Mr. Wyanth wanted you to. He thinks I can’t find anything food to do on my own. Well, I just have.” Ben didn’t answer. What Sarah said wasn’t true. [SEP] It was Ben’s project to make a macaroni moonscape with a solar-powered [MASK] station. [SEP]",lunar
CII,169,77.2,"[CLS] “We’re doing a macaroni moonscape complete with scale model of a futuristic solar-powered lunar station,” said Ben. “You’re doing a moonscape,” said Sarah. “It was your idea in the first place. The only reason you let me in on it was because Mr. Wyanth wanted you to. He thinks I can’t find anything food to do on my own. Well, I just have.” Ben didn’t answer. What Sarah said wasn’t true. [SEP] Mr. Wyanth didn’t think Sarah would [MASK] [MASK] good to do, but she [MASK] had. [SEP]",just
CII,63,78.7,"[CLS] “Whatever do you mean?” cries Lavender Moon. “I am too old to be rushing around,” explains Toby. “I am looking for a place to settle down and stay.” Lavender Moon is horrified. No more passengers to eat her soup and pies! No more chances for her to ride the late-night bus! She will never find out where the road goes. She has waited too long. [SEP] What does Lavender Moon realize? She realizes that without the late-night bus, there will be no [MASK] to eat her food. [SEP]",passengers
CII,63,78.7,"[CLS] “Whatever do you mean?” cries Lavender Moon. “I am too old to be rushing around,” explains Toby. “I am looking for a place to settle down and stay.” Lavender Moon is horrified. No more passengers to eat her soup and pies! No more chances for her to ride the late-night bus! She will never find out where the road goes. She has waited too long. [SEP] What does this make Lavender Moon worry about? She worries that she may have [MASK] too long to explore the world. [SEP]",waited
CII,63,78.7,"[CLS] The dolphin and porpoise are members of the whale family. The dolphin has a long snout, while the snout of the porpoise is short. Both mammals are known to be intelligent and sociable. [SEP] The [MASK], with its short snout, is often confused with the dolphin. [SEP]",porpoise
CII,63,78.7,"[CLS] The dolphin and porpoise are members of the whale family. The dolphin has a long snout, while the snout of the porpoise is short. Both mammals are known to be intelligent and sociable. [SEP] Both are [MASK] of the whale family. [SEP]",members
CII,63,78.7,"[CLS] The dolphin and porpoise are members of the whale family. The dolphin has a long snout, while the snout of the porpoise is short. Both mammals are known to be intelligent and sociable. [SEP] They are known to very intelligent and [MASK] mammals. [SEP]",sociable
CII,64,77.2,"[CLS] “I am tired of pie crust and dirty forks,” Lavender Moon grumbles. “I am tired of tablecloths and soup spoons.” As she cleans the counter, she begins to make a plan. When she hangs up the Closed sign, she is smiling. Then something happens that has never happened before. The late-night bus stops at the cafe door early one morning. [SEP] As Lavender Moon cleans, she makes a [MASK]. [SEP]",plan
CII,64,77.2,"[CLS] “I am tired of pie crust and dirty forks,” Lavender Moon grumbles. “I am tired of tablecloths and soup spoons.” As she cleans the counter, she begins to make a plan. When she hangs up the Closed sign, she is smiling. Then something happens that has never happened before. The late-night bus stops at the cafe door early one morning. [SEP] Unexpectedly one morning, the late-night bus [MASK] at the cafe. [SEP]",stops
CII,64,77.2,"[CLS] The pony express was the first postal service in America. Riding horses, messengers delivered mail between two distant cities within ten days. The pony express was abandoned with the invention of the telegraph. [SEP] Before there was the mail service as we know it today, there was the [MASK] [MASK]. [SEP]","pony, express"
CII,64,77.2,"[CLS] The pony express was the first postal service in America. Riding horses, messengers delivered mail between two distant cities within ten days. The pony express was abandoned with the invention of the telegraph. [SEP] It used to take [MASK] ten days to deliver the mail by horse. [SEP]",messengers
CII,64,77.2,"[CLS] The pony express was the first postal service in America. Riding horses, messengers delivered mail between two distant cities within ten days. The pony express was abandoned with the invention of the telegraph. [SEP] When messages could be sent more quickly by telegraph, the pony express was [MASK]. [SEP]",abandoned
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,